uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u47,30962|828|176|651,37180|696|0|718,39998|641|39|1464,66869|1137|7|1945,41283|511|6|849,39819|830|18|736,4446|30|0|184,20048|435|16|734,63161|4181|641|1755,30558|2788|421|1020
u49,22077|1144|52|626,48946|2446|340|2084,51047|2567|249|985,49062|2174|247|542,50767|2078|296|482,42645|2025|202|317,44228|2607|534|2486,98359|4691|1061|704,93217|3119|552|1066,72167|3078|733|739
u50,24731|671|0|84,56126|1200|39|651,52924|773|21|4430,56020|965|10|1114,33837|397|9|33,8245|0|0|0,15825|196|0|106,21242|268|5|156,0|0|0|0,5177|66|0|65
u51,33492|2356|522|889,51017|3395|875|1985,52619|2835|1267|603,54057|2285|736|511,53175|2865|956|552,51498|3167|687|1983,51564|2935|1270|1187,52909|2153|1552|821,50216|3502|952|2114,39158|1536|774|944
u52,8702|1271|0|423,15395|2427|3619|4404,23917|2274|0|1248,24838|1747|3|679,21281|2177|0|862,25335|3059|0|586,20559|2631|1|810,21665|3204|64|3813,11134|1414|15231|678,13779|1747|0|484
u53,36950|1419|33|787,53388|1259|157|1523,50394|1580|85|1363,47540|892|99|1081,55351|1205|126|839,48407|1358|53|1116,50106|1151|105|554,44718|378|11|193,31912|342|7|140,39851|407|2|170
u54,28049|4316|395|1459,43393|3762|605|1658,50496|2427|284|2907,52377|1933|433|567,48124|1758|319|1055,44507|1899|322|852,21359|1811|298|523,0|0|0|0,0|0|0|0,12891|411|77|91
u56,38724|2288|798|3465,59354|1844|1233|2456,54054|1926|164|1253,52758|2348|463|1525,52836|2699|338|1360,40419|1639|124|1010,0|0|0|0,46175|1549|505|1844,51668|1578|520|941,36939|1703|230|968
u57,32435|2278|1640|1515,43961|2878|1565|2724,47919|2587|1645|2322,49346|2865|1113|1621,49785|2669|1322|965,47766|2824|1296|1510,47620|3491|1622|2295,45791|4056|1669|2095,48648|3731|1655|1432,36133|2833|919|1105
u58,38748|736|5|355,51870|2207|89|1243,50867|1979|157|1451,52916|2117|132|2094,53862|1845|104|1551,44944|1280|256|407,54147|2066|669|786,54178|1959|603|948,55422|1382|661|574,19502|978|281|384
u59,33727|2903|1100|7911,53230|4364|1763|17302,128937|15767|1681|7495,223237|22952|4120|8672,222613|19604|4449|7503,239857|18391|4648|9355,181102|11219|3463|13636,206531|19822|3792|8104,224187|14948|2952|5734,161190|12164|5136|9806
